epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,184.56,0.6984,0.52489,1.02795,0.92065,0.87179,0.92089,0.67434,0.93323,0.56188,1.15299,0.006535,0.006535,0.006535
44,188.478,0.68358,0.51449,0.98926,0.95698,0.88462,0.9379,0.6944,0.862,0.56105,1.12386,0.0064525,0.0064525,0.0064525
45,192.462,0.67317,0.51907,0.99979,0.97243,0.90433,0.92214,0.7332,0.81385,0.55977,1.12494,0.00637,0.00637,0.00637
46,196.567,0.69605,0.51393,0.99141,0.92195,0.90864,0.93097,0.72143,0.8293,0.53005,1.14778,0.0062875,0.0062875,0.0062875
47,200.525,0.64308,0.49964,0.98165,0.9844,0.83333,0.9194,0.71232,0.8026,0.53069,1.12591,0.006205,0.006205,0.006205
48,204.512,0.65652,0.5132,0.97451,0.93353,0.90029,0.9234,0.732,0.77776,0.54972,1.09572,0.0061225,0.0061225,0.0061225
49,208.397,0.68032,0.49487,0.98109,0.93377,0.90379,0.91914,0.72238,0.78599,0.53665,1.09706,0.00604,0.00604,0.00604
50,212.356,0.66521,0.48911,0.96713,0.96991,0.88462,0.92768,0.73263,0.7687,0.54727,1.09597,0.0059575,0.0059575,0.0059575
51,216.28,0.65625,0.47723,1.00224,0.96921,0.91026,0.94693,0.73547,0.80244,0.51251,1.10599,0.005875,0.005875,0.005875
52,220.159,0.65215,0.46904,0.98572,0.95055,0.87179,0.9331,0.71242,0.8386,0.53523,1.10699,0.0057925,0.0057925,0.0057925
53,224.038,0.6306,0.46792,0.96935,0.94326,0.89744,0.92988,0.70313,0.83923,0.51825,1.08975,0.00571,0.00571,0.00571
54,227.938,0.60556,0.46141,0.95506,0.94305,0.88462,0.93771,0.69871,0.87227,0.53463,1.12276,0.0056275,0.0056275,0.0056275
55,231.832,0.63485,0.47056,0.96533,0.95773,0.89744,0.92641,0.69594,0.85794,0.55525,1.13537,0.005545,0.005545,0.005545
56,235.758,0.59916,0.45779,0.98155,0.96979,0.89744,0.9477,0.73132,0.78633,0.48509,1.10402,0.0054625,0.0054625,0.0054625
57,239.65,0.58803,0.45127,0.96157,0.96885,0.88462,0.94859,0.72435,0.8321,0.5191,1.11884,0.00538,0.00538,0.00538
58,243.61,0.62865,0.45804,0.97072,0.94227,0.91026,0.9471,0.71693,0.81823,0.49299,1.11828,0.0052975,0.0052975,0.0052975
59,247.532,0.59986,0.43669,0.97281,0.91012,0.90875,0.93347,0.72403,0.8093,0.51821,1.12262,0.005215,0.005215,0.005215
60,251.456,0.60598,0.44601,0.95043,0.95833,0.88458,0.93903,0.71944,0.83222,0.52255,1.12034,0.0051325,0.0051325,0.0051325
61,255.424,0.59099,0.45114,0.95845,0.95683,0.88462,0.92412,0.73421,0.80458,0.5128,1.10341,0.00505,0.00505,0.00505
62,259.363,0.62981,0.44993,0.97566,0.97176,0.88462,0.92972,0.71644,0.85716,0.50502,1.13078,0.0049675,0.0049675,0.0049675
63,263.315,0.60219,0.43366,0.94827,0.98032,0.89744,0.9332,0.72152,0.83893,0.48517,1.11983,0.004885,0.004885,0.004885
64,267.198,0.56478,0.41916,0.92734,0.95572,0.89744,0.94229,0.73155,0.80449,0.4878,1.10602,0.0048025,0.0048025,0.0048025
65,270.965,0.56418,0.42544,0.93695,0.98324,0.88462,0.9388,0.73279,0.78105,0.47511,1.09111,0.00472,0.00472,0.00472
66,274.752,0.56895,0.42151,0.94852,0.98233,0.88462,0.92539,0.73798,0.78873,0.50449,1.09474,0.0046375,0.0046375,0.0046375
67,278.515,0.59199,0.42178,0.93373,0.97141,0.8713,0.92206,0.72751,0.77616,0.48824,1.07306,0.004555,0.004555,0.004555
68,282.321,0.54539,0.40914,0.92559,0.96999,0.88462,0.92431,0.74369,0.76994,0.48512,1.07855,0.0044725,0.0044725,0.0044725
69,286.124,0.55168,0.41771,0.93859,0.97683,0.88462,0.93012,0.74236,0.7823,0.49378,1.07783,0.00439,0.00439,0.00439
70,289.957,0.55231,0.41764,0.92392,0.99219,0.89744,0.9339,0.73167,0.78531,0.47233,1.08858,0.0043075,0.0043075,0.0043075
71,293.706,0.55132,0.40872,0.94474,0.96946,0.89744,0.93475,0.72818,0.79231,0.47496,1.0948,0.004225,0.004225,0.004225
72,297.518,0.53786,0.40577,0.93663,0.99865,0.87179,0.9401,0.73088,0.79063,0.48914,1.08791,0.0041425,0.0041425,0.0041425
73,301.291,0.5117,0.39355,0.90981,0.98476,0.87179,0.93941,0.73316,0.75908,0.46545,1.07692,0.00406,0.00406,0.00406
74,305.099,0.54189,0.39649,0.92795,0.98604,0.90532,0.9331,0.73118,0.76447,0.46128,1.07094,0.0039775,0.0039775,0.0039775
75,308.843,0.54117,0.40704,0.9297,0.97217,0.89569,0.93726,0.72839,0.79976,0.47536,1.09558,0.003895,0.003895,0.003895
76,312.581,0.50887,0.37727,0.91447,0.9726,0.91002,0.94242,0.74072,0.7674,0.48569,1.08471,0.0038125,0.0038125,0.0038125
77,316.355,0.55568,0.40314,0.93015,0.9832,0.91026,0.94845,0.73936,0.78578,0.47069,1.07909,0.00373,0.00373,0.00373
78,320.24,0.5296,0.3853,0.91857,0.96958,0.89744,0.94606,0.74437,0.75613,0.4898,1.08895,0.0036475,0.0036475,0.0036475
79,323.995,0.51202,0.38223,0.91832,0.96957,0.89744,0.94092,0.74106,0.79981,0.49302,1.0946,0.003565,0.003565,0.003565
80,327.834,0.5158,0.38975,0.91854,0.9594,0.90886,0.93876,0.72926,0.79185,0.47337,1.08697,0.0034825,0.0034825,0.0034825
81,331.65,0.50579,0.37678,0.91476,0.98607,0.90725,0.95757,0.72142,0.80701,0.47272,1.09599,0.0034,0.0034,0.0034
82,335.427,0.5082,0.37802,0.93513,0.95956,0.91256,0.95115,0.73422,0.78453,0.43527,1.0908,0.0033175,0.0033175,0.0033175
83,339.192,0.51522,0.37529,0.92241,0.97213,0.8945,0.94025,0.7367,0.78552,0.42907,1.09755,0.003235,0.003235,0.003235
